Numéro	Lien	HTTP	Encodage Charset	Nombre de mots
1	https://omci.inha.fr/s/ocmi/item/2	200	UTF-8	982
2	https://www.geneve.ch/themes/culture/bibliotheques/interroge/reponses/quest-ce-que-ame-apres-la-bible-et-que-devient-apres-la-mort	200	UTF-8	2193
3	https://jecherchedieu.ch/question/quest-ce-que-l-ame-comment-la-definir-existe-t-elle-avant-notre-naissance-que-peut-elle-nous-apporter/	200	UTF-8	2197
4	https://dicophilo.fr/definition/ame/	200	UTF-8	988
5	https://www.dictionnaire-academie.fr/article/A9A1428	200	UTF-8	4249
6	https://www.cnrtl.fr/definition/academie8/%C3%A2me	200	UTF-8	1059
7	https://www.jepense.org/difference-entre-ame-et-esprit/	200	UTF-8	3776
8	https://www.rcf.fr/articles/vie-spirituelle/ou-se-trouve-lame-dans-notre-corps	403	rien	106
9	https://usito.usherbrooke.ca/d%C3%A9finitions/%C3%A2me	200	utf-8	1688
10	https://www.resmusica.com/2025/12/16/ame-brisee-akira-mizubayashi-resonances-musicales-et-picturales-gallimard/	200	UTF-8	1892
11	https://nospensees.fr/l-ame-existe-t-elle-cest-ce-que-dit-la-science/	200	utf-8	1345
12	https://figaronautisme.meteoconsult.fr/actus-nautisme-escales/2025-12-16/32469-cat-island-traditions-paysages-sauvages-et-ame-originelle-des-bahamas	403	rien	46
13	https://www.journaldemontreal.com/2012/10/20/dou-vient-notre-ame	403	rien	115
14	https://www.diverto.tv/actualites/cinema/interview-diverto-voir-son-ame-dans-un-autre-corps-c-est-bouleversant-rencontre-avec-le-casting-de-avatar-3	403	UTF-8	126
15	https://lincorrect.org/clovis-goux-la-country-ou-lame-americaine/	200	UTF-8	1535
16	https://www.gala.fr/culture/television/toi-l-ame-soeur-que-j-attendais-frederique-l-amour-est-dans-le-pre-declare-sa-flamme-a-pierre-apres-le-renouvellement-de-leurs-voeux-20251216	200	UTF-8	3301
17	https://www.lagazettefrance.fr/article/venezuela-maria-corina-machado-visage-et-ame-de-l-opposition	200	UTF-8	1696
18	https://usito.usherbrooke.ca/expressions/%C3%A2me	200	utf-8	1226
19	https://www.eleves.ens.fr/aumonerie/en_ligne/toussaint03/seneve009.html	200	rien	5320
20	https://cepheides.fr/article-16828913.html	200	UTF-8	4946
21	https://www.dimitri-jacques.com/2015/03/therapie-holistique-corps-esprit/	200	UTF-8	2461
22	https://genethique.org/fin-de-lame-place-au-gene/	200	UTF-8	3391
23	https://journals.openedition.org/studifrancesi/9539	200	UTF-8	1353
24	https://dioceseparis.fr/interactions-biologie-psychisme-45382.html	200	utf-8	1914
25	https://www.numedia.fr/est-ce-que-ame-existe-reellement-603502025.html	200	UTF-8	2319
26	https://eveilspirituel.net/textes-de-claudette-vidal.asp?i=46	200	rien	1376
27	https://www.ffhandball.fr/actualite/equipe-de-france/edff-ihf-mondial-2025-les-bleues-et-leur-supplement-ame-au-revelateur-allemand/	200	UTF-8	1450
28	https://www.lucistrust.org/fr/online_books/the_soul_and_its_mechanism/chapter_iv_the_nature_the_soul_and_its_location	403	UTF-8	126
29	https://ibahiyya.e-monsite.com/pages/archives-cours/cours/le-vivant-entre-science-et-ethique/le-vivant-et-la-science-1.html	200	UTF-8	1680
30	https://www.pierrecorbeil.com/lame-dou-vient-elle/?srsltid=AfmBOorG45DpoEEDcf206DrotAjBwSXNe2Hofb8m3ZR1HmVm0gY3szEa	200	UTF-8	2169
31	https://www.ame-evolutionnaire.com/blogs/infos/ame-quantique?srsltid=AfmBOopD-LudN-g2lRl45SDbFa3n-Tms_Yj_YkJBTmBGAJUL9OWwifQt	200	utf-8	7321
32	https://www.esprityoga.fr/comprendre-la-difference-entre-le-corps-lame-et-lesprit/	200	UTF-8	3414
33	https://www.bio-infos-sante.fr/et-si-la-mort-ne-signait-pas-la-fin-de-lexistence/	200	UTF-8	3848
34	https://encyclo-philo.fr/vivant-gp	200	UTF-8	3884
35	https://www.inexplore.com/articles/peindre-ame-ax-elle-body-painting	200	utf-8	398
36	https://fr.wikipedia.org/wiki/Poids_de_l%27%C3%A2me	200	UTF-8	2972
37	https://fr.wikipedia.org/wiki/Le_Po%C3%A8me_de_l%27%C3%A2me	200	UTF-8	6914
38	https://catechese.catholique.fr/outils/conference-contribution/291617-chant-musique-ame/	200	UTF-8	2260
39	https://fr.wikipedia.org/wiki/M%C3%A9taphysique	200	UTF-8	14488
40	https://books.openedition.org/vrin/21798?lang=fr	200	UTF-8	32037
41	https://journals.openedition.org/asr/2130	200	UTF-8	8040
42	https://fr.wikipedia.org/wiki/La_Ligne_verte_(film)	200	UTF-8	9764
43	https://www.gotquestions.org/Francais/gagner-le-monde-perdre-l-ame.html	200	rien	805
44	https://cletis-bien-etre.fr/chemin-des-ames/	200	UTF-8	2544
45	https://ichtusmagazine.fr/2023/07/25/17-personnes-17-definitions-de-lame/	404	UTF-8	401
46	https://www.musee-orsay.fr/fr/articles/le-poeme-de-lame-de-louis-janmot-texte-integral-275212	403	UTF-8	174
47	https://www.medecinesciences.org/en/articles/medsci/full_html/2020/10/msc200145/msc200145.html	200	utf-8	8061
48	https://www.noetique.eu/billets/spiritualiser-cest-voir-les-ames	200	utf-8	1409
49	https://toutlefrancais.com/expression-francaise-avoir-du-vague-a-lame/	200	UTF-8	643
50	https://www.questce.fr/expressions/en-mon-ame-et-conscience-12026	200	utf-8	795
